H2,CO,C2H4,C2H2,label
0.002589662161105466,0.016490623189316638,0.002875930482579026,0.0003358968738966743,1
0.0028247982342637945,0.014727662159907836,0.0019918087168352147,0.00033941610875172105,1
0.0027637495400609337,0.017030039094378547,0.0033940967329518933,0.0001953862355719617,1
0.0005076658733763154,0.016333588492173798,0.004104338219123551,0.0003799402563554089,1
0.0026543005318142667,0.02127816422275,0.0040676565799271204,0.00012398432355554433,1
0.0003936593552801232,0.025931161839323813,0.0038143771692252196,0.00019416084636174262,1
0.0030212277018637898,0.030193717886569018,0.005037096064037122,0.00024446389336903114,1
0.0008798341174118404,0.016751529045719048,0.00730960325522331,0.00012520919472712992,1
0.0024682779266237947,0.02002949067320236,0.004350845451741415,0.00023401917654534038,1
0.0006378294942708412,0.009762054726798088,0.005859677083256406,0.00028906683370536146,1
0.0019709850313140292,0.019852917351235715,0.006895192407755931,0.0003481150141552911,1
0.0025368452416528403,0.002566609161863125,0.00820004718307285,0.00029342818903981834,3
0.001788963363987362,0.005601140074962366,0.002109728303623077,0.00036704895195340697,4
0.0012841821631242928,0.014253556435628787,0.005080429254868324,0.00010084710899977411,1
0.001304935446073794,0.009284587896856647,0.0008477659507525091,0.00034214514750502645,1
0.0010220470372492186,0.016338978078547617,0.005147600257464979,0.00017249478636705465,1
0.0020048670924564197,0.015983452442923794,0.007057400097602123,0.0003085132500470024,1
0.0029982695502523593,0.012553068391242612,0.005972172700997126,0.00021049944285802852,1
0.002268456615503314,0.032784335671464236,0.005452365152689508,0.00019362635697028836,1
0.0017065371142371253,0.0033244266684033155,0.0022669227140361746,0.00012386718032034213,4
0.0009478441238904823,0.007050769489298788,0.0077531863134940255,0.0002794365753380573,1
0.0013337974961099791,0.02601419617334045,0.0013936540645666491,1.3327895110477585e-05,1
0.001963799912058312,0.01198779606299666,0.009218865314755688,0.00016654716404145866,1
0.0005086678811612212,0.03441900105745951,0.005199648118541648,0.00039644077941297927,1
0.0031402896929304536,0.00989413305602451,0.005920608982560463,1.8239145091245573e-05,1
0.0005882415038501519,0.008836595739548312,0.009539832280578316,0.00034662342073424156,1
0.0015293294137647415,0.01887562007827856,0.007625229602988084,0.0002458607245100313,1
0.000818083024863101,0.01602087864347618,0.0035909795579676007,0.00026209135905172547,1
0.0009513070406825764,0.010938592107809035,0.008085056115128322,0.0004105519989578379,1
0.0007064990675226243,0.013890188143478088,0.00880036566969451,0.00018192277413124218,1
0.0009640845358999105,0.03154982005570239,0.002056877375508269,0.0001732227076768869,1
0.0009956758835159125,0.036819360879614293,0.0068297595676173675,0.00015929827799921972,1
0.0006986751104440032,0.0074587765957316535,0.005327031712026651,6.80828198994538e-05,1
0.0026840533171618866,0.0015356092469822565,0.001911763823569028,0.0003490303244468909,4
0.0031263159811880754,0.027034999215273758,0.00815649723905594,1.492838723528214e-05,1
0.002064618690335931,0.025736789796626195,0.003964332636514981,0.00033647407192097885,1
0.00046158366229988735,0.02448689421449762,0.0017919025320890312,0.0003387598213485548,1
0.00037938178003412874,0.012754857706856887,0.005224117162888794,0.00023725172565121672,1
0.0005819078578449082,0.006021375907813318,0.0043252713315456975,0.0003868410262051706,3
0.001850370730158314,0.02695629907880951,0.003444857388761177,0.00010604009696742935,1
0.002177809806253553,0.018214910025173794,0.0038529659697649813,8.803003446535666e-05,1
0.00286929332334926,0.003273227926971252,0.0010068582975467288,0.00015213614608812514,4
0.0002851686780829611,0.02318082854470952,0.005868118950790226,0.0003608651730645029,1
0.003153588335036409,0.008060440467349026,0.007780600214078087,4.27307344009486e-05,4
0.0014813862280573628,0.010313335030934033,0.007511261423788318,0.00013663352114648647,1
0.0029502709778140316,0.020934238107142848,0.0007132295491571483,0.0003517245571767157,4
0.0008518491650688405,0.007419120056756179,0.007924319689828796,0.00024109533347648444,1
0.002360335258843311,0.004218315432813054,0.0022335342696892637,0.0002459288280240079,4
0.0017740431213987902,0.012613587276729038,0.006267166683659506,0.00016972059807376921,1
0.0018005676026892645,0.026570930736302352,0.008601726192578565,0.00023809291675888584,1
0.002708812553341887,0.004864145922222364,0.00558715851778403,0.00034083042846929344,3
0.0005564936508567901,0.02068135575589284,0.0018681375976461756,0.00030050214647981457,1
0.002823862303655934,0.01569243065413331,0.006979226952377597,0.00027469934829362636,1
0.002810903006359034,0.034071227052497606,0.003172164831823314,8.25333975291198e-05,1
0.0018146490455226017,0.030226383112866646,0.0005907471907085931,0.0002805538317407236,1
0.002638888315724986,0.032337495570109516,0.005072199498660463,0.0003149382541482922,1
0.002934380249795453,0.024318999780554733,0.0031612672003866475,0.00016579164748472316,1
0.0017348874460775992,0.02665707099222379,0.006632621440552366,0.00030693805389798393,1
0.002905989586054024,0.007981992800136414,0.0032871411681068895,0.00030970014227655533,4
0.0028355398656837874,0.016510619052335695,0.009957011958615699,6.04121074837867e-05,1
0.002441580300558319,0.008551042175881407,0.00396010211234022,0.000135492285750746,1
0.0001801798893030931,0.0018705656951391709,0.003794138369493555,0.00014701501450378312,3
0.0009189451336034339,0.02236147671303332,0.006445757958361649,4.48721709951424e-05,1
0.00037084466066636255,0.007336899802917126,0.009298081163790939,0.00025497984959800584,1
0.0014529048180816726,0.01085256718622666,0.0029328639626993625,0.00035765687919012406,1
0.0011373669875810325,0.015838982252485683,0.0009335960968997938,9.494905133756715e-05,1
0.0009716926239336239,0.0334567294367619,0.006478287323239736,0.00029865681945119896,1
0.002135127855885941,0.028910181889111892,0.0008178753183219363,0.00027202334224998647,1
0.0009037232903239088,0.01582017968866903,0.005139295815615695,0.0001432090159195582,1
0.0021304173497345112,0.006370618349535937,0.0030260462371133126,0.00027213805365843734,4
0.0005933285144986306,0.018852542233899993,0.0020964646308618854,0.0003619582674727433,1
0.0010780735667039354,0.02131018850108333,0.006823467527414981,0.0002589885679012195,1
0.0014006012286311733,0.025131694865271424,0.0005868644049985796,0.00028024012523695976,1
0.000552329072316285,0.03182079527228093,0.000682936420272887,0.00011883600291201552,1
0.0015313631314968898,0.01690438963488331,0.0022336670782076074,0.00032629246605274593,1
0.00015851580678297284,0.005747195290593552,0.005132380609127598,0.0003667174375637905,3
0.0002141001540342031,0.019877333488566643,0.006064387890440218,9.815905789635829e-05,1
0.0006311415683730346,0.012447984846920937,0.007944865650057836,0.0001550340751605759,1
0.00298040298833355,0.018799839415597618,0.008079943590417603,0.00010201944596998097,1
0.00039997332060324147,0.02466609680080711,0.005349098961319751,0.00021630345216000415,1
